e11,e22,e12,s11,s22,s12,timestep,simulation_id
-0.0161132,-0.020385,-0.0139962,-617.98,-605.01,-243.699,31.0,8317
-0.0162836,-0.0205471,-0.0143104,-637.915,-624.526,-251.56,32.0,8317
-0.016454,-0.0207091,-0.0146246,-657.85,-644.042,-259.422,33.0,8317
-0.0166243,-0.0208712,-0.0149387,-677.785,-663.559,-267.283,34.0,8317
-0.0167946,-0.0210331,-0.0152529,-697.72,-683.075,-275.144,35.0,8317
-0.016965,-0.0211951,-0.015567,-717.654,-702.592,-283.005,36.0,8317
-0.0171352,-0.0213571,-0.0158811,-737.589,-722.108,-290.867,37.0,8317
-0.0173055,-0.021519,-0.0161952,-757.524,-741.625,-298.728,38.0,8317
-0.0174758,-0.0216809,-0.0165092,-777.459,-761.141,-306.589,39.0,8317
-0.0176461,-0.0218429,-0.0168233,-797.394,-780.657,-314.45,40.0,8317
-0.0178164,-0.0220048,-0.0171374,-817.329,-800.174,-322.312,41.0,8317
-0.0179866,-0.0221667,-0.0174515,-837.264,-819.69,-330.173,42.0,8317
-0.0181569,-0.0223286,-0.0177655,-857.198,-839.207,-338.034,43.0,8317
-0.0183271,-0.0224905,-0.0180796,-877.133,-858.723,-345.895,44.0,8317
-0.0184974,-0.0226524,-0.0183937,-897.068,-878.24,-353.757,45.0,8317
-0.0186677,-0.0228143,-0.0187077,-917.003,-897.756,-361.618,46.0,8317
-0.0188379,-0.0229762,-0.0190218,-936.938,-917.272,-369.479,47.0,8317
-0.0190082,-0.0231381,-0.0193358,-956.873,-936.789,-377.34,48.0,8317
-0.0191784,-0.0233,-0.0196499,-976.807,-956.305,-385.202,49.0,8317
-0.0193487,-0.0234619,-0.0199639,-996.742,-975.822,-393.063,50.0,8317
-0.0191784,-0.0233,-0.0196499,-976.807,-956.305,-385.202,51.0,8317
-0.0190082,-0.0231382,-0.0193359,-956.873,-936.789,-377.34,52.0,8317
-0.0188379,-0.0229763,-0.0190218,-936.938,-917.272,-369.479,53.0,8317
-0.0186677,-0.0228144,-0.0187078,-917.003,-897.756,-361.618,54.0,8317
-0.0184975,-0.0226525,-0.0183937,-897.068,-878.24,-353.757,55.0,8317
-0.0183272,-0.0224906,-0.0180797,-877.133,-858.723,-345.895,56.0,8317
-0.018157,-0.0223287,-0.0177656,-857.198,-839.207,-338.034,57.0,8317
-0.0179868,-0.0221669,-0.0174516,-837.264,-819.69,-330.173,58.0,8317
-0.0178165,-0.022005,-0.0171376,-817.329,-800.174,-322.312,59.0,8317
-0.0176463,-0.0218431,-0.0168235,-797.394,-780.657,-314.45,60.0,8317
-0.017476,-0.0216812,-0.0165095,-777.459,-761.141,-306.589,61.0,8317
-0.0173058,-0.0215193,-0.0161954,-757.524,-741.625,-298.728,62.0,8317
-0.0171356,-0.0213575,-0.0158814,-737.589,-722.108,-290.867,63.0,8317
-0.0169653,-0.0211956,-0.0155674,-717.654,-702.592,-283.005,64.0,8317
-0.0167951,-0.0210337,-0.0152533,-697.72,-683.075,-275.144,65.0,8317
-0.0166248,-0.0208718,-0.0149393,-677.785,-663.559,-267.283,66.0,8317
-0.0164546,-0.0207099,-0.0146252,-657.85,-644.042,-259.422,67.0,8317
-0.0162844,-0.0205481,-0.0143112,-637.915,-624.526,-251.56,68.0,8317
-0.0161141,-0.0203862,-0.0139972,-617.98,-605.01,-243.699,69.0,8317
-0.0159439,-0.0202243,-0.0136831,-598.045,-585.493,-235.838,70.0,8317
-0.0157737,-0.0200624,-0.0133691,-578.111,-565.977,-227.977,71.0,8317
-0.0156034,-0.0199005,-0.013055,-558.176,-546.46,-220.115,72.0,8317
-0.0154332,-0.0197387,-0.012741,-538.241,-526.944,-212.254,73.0,8317
-0.0152629,-0.0195768,-0.012427,-518.306,-507.427,-204.393,74.0,8317
-0.0150927,-0.0194149,-0.0121129,-498.371,-487.911,-196.531,75.0,8317
-0.0149225,-0.019253,-0.0117989,-478.436,-468.394,-188.67,76.0,8317
-0.0147522,-0.0190911,-0.0114848,-458.501,-448.878,-180.809,77.0,8317
-0.014582,-0.0189292,-0.0111708,-438.567,-429.362,-172.948,78.0,8317
-0.0144117,-0.0187674,-0.0108568,-418.632,-409.845,-165.086,79.0,8317
-0.0142415,-0.0186055,-0.0105427,-398.697,-390.329,-157.225,80.0,8317
-0.0140713,-0.0184436,-0.0102287,-378.762,-370.812,-149.364,81.0,8317
-0.013901,-0.0182817,-0.00991463,-358.827,-351.296,-141.503,82.0,8317
-0.0137308,-0.0181198,-0.00960059,-338.892,-331.779,-133.641,83.0,8317
-0.0135589,-0.0179557,-0.00928592,-318.958,-312.263,-125.78,84.0,8317
-0.0133668,-0.0177628,-0.00896327,-299.023,-292.747,-117.919,85.0,8317
-0.0130967,-0.0174592,-0.00860993,-279.088,-273.23,-110.058,86.0,8317
